Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	Equinox	ElevAngle
0	2018-07-11 14:53:00	9	2018-07-11 22:57:00	9	Midnight	77.640	43.815	No	-4.00
1	2018-07-11 22:57:00	9	2018-07-12 15:01:00	9	Midday	76.656	44.862	No	-4.00
2	2018-07-12 15:01:00	9	2018-07-12 22:57:00	9	Midnight	76.672	44.969	No	-4.00
3	2018-07-12 22:57:00	9	2018-07-13 14:54:00	9	Midday	77.561	44.204	No	-4.00
4	2018-07-13 14:54:00	9	2018-07-13 23:00:00	9	Midnight	77.201	43.943	No	-4.00
5	2018-07-13 23:00:00	9	2018-07-14 14:49:00	9	Midday	77.840	43.393	No	-4.00
6	2018-07-14 14:49:00	9	2018-07-14 22:52:00	9	Midnight	78.854	44.517	No	-4.00
7	2018-07-14 22:52:00	9	2018-07-15 15:03:00	9	Midday	77.117	46.268	No	-4.00
8	2018-07-15 15:03:00	9	2018-07-15 23:05:00	9	Midnight	75.504	44.853	No	-4.00
9	2018-08-01 14:33:00	9	2018-08-01 23:18:00	9	Midnight	77.707	43.941	No	-4.00
10	2018-08-01 23:18:00	9	2018-08-02 14:34:00	9	Midday	77.573	44.305	No	-4.00
11	2018-08-02 14:34:00	9	2018-08-02 23:22:00	9	Midnight	77.064	43.855	No	-4.00
12	2018-08-02 23:22:00	9	2018-08-03 14:38:00	9	Midday	76.554	44.705	No	-4.00
13	2018-08-03 14:38:00	9	2018-08-03 23:17:00	9	Midnight	77.169	45.665	No	-4.00
14	2018-08-03 23:17:00	9	2018-08-04 14:36:00	9	Midday	77.408	45.579	No	-4.00
15	2018-08-04 14:36:00	9	2018-08-04 23:32:00	9	Midnight	75.521	43.351	No	-4.00
16	2018-08-04 23:32:00	9	2018-08-05 15:02:00	9	Midday	72.258	47.628	No	-4.00
17	2018-08-05 15:02:00	9	2018-08-06 00:00:00	9	Midnight	68.745	43.445	No	-4.00
18	2018-09-01 02:49:00	9	2018-09-01 15:39:00	9	Midday	41.516	14.173	No	-4.00
19	2018-09-01 15:39:00	9	2018-09-02 02:43:00	9	Midnight	42.226	18.478	No	-4.00
20	2018-09-02 02:43:00	9	2018-09-02 15:39:00	9	Midday	42.186	19.056	No	-4.00
21	2018-09-02 15:39:00	9	2018-09-03 01:31:00	9	Midnight	51.148	50.592	No	-4.00
